"CS_USER__C","CREATEDBYID","CREATEDDATE","EP_USER__C","ID","ISDELETED","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","OWNERID","SYSTEMMODSTAMP","ACCOUNT_NAME__C","AGE__C","AREA__C","EMAIL__C","ENGINEER_FIRST_NAME__C","ENGINEER_NAME__C","ENGINEER_TYPE__C","EVENTUSER__C","GENKA_YEN__C","GYOUMUITAKU_CHECK__C","HYOUKA_RANK__C","INDEX_KOUMOKU__C","JYOUKEN_POINT__C","KEIKEN_NENSUU__C","KOJIN_JIGYOU_TYPE__C","MOBILE_NUMBER__C","SEX__C","SKILL_SET__C","SYAGAI_MUKE_SKILL__C","SYANAI_ENGINEER_KUBUN__C","SYOKUMU_RIREKI__C","SYOUDAN_KAISHI_JIKAN__C","SYOUDAN_SYUURYOU_JIKAN__C","TEIANKINGAKU__C","TOUROKU_MENDAN_DATE__C","TOUROKU_STATUS__C"
"0052x000002poBwAAI","0052x000002ke72AAA","2020-07-27T03:13:54.000Z","0052x000002poBxAAI","a0T2x000000MIdiEAG","false","","0052x000002ke72AAA","2020-07-27T17:36:32.000Z","2020-07-27T16:27:02.000Z","2020-07-27T16:27:02.000Z","※内村 優一","0052x000002ke72AAA","2020-07-27T17:36:32.000Z","0012x00000AIyEaAAL","24.0","東京都","yamazaki_sachiko@example.com","","※内村 優一","個人","","498500.0","true","B","","金額＞内容（Node.js）＞場所","7.0","法人","090-6343-  86","男性","サーバ構築;Java;C++","・基本設計〜幅広く対応可能
・Java、C#、PHP、Node.js、Kotlin経験あり
・ゲーム業界/Web系経験豊富","CE","フリーランス時代は得意のXXXに関するプロジェクト中心に活動をし、YYプロジェクト等の業務システムに関する開発・検証を主に行ってきた。得意分野としては・・・","2020-08-11T06:00:00.000Z","2020-08-11T07:00:00.000Z","","2020-08-09","稼働中"
"0052x000002poBxAAI","0052x000002ke72AAA","2020-07-27T03:13:54.000Z","0052x000002poBwAAI","a0T2x000000MIdjEAG","false","","0052x000002ke72AAA","2020-07-27T17:23:04.000Z","2020-07-27T17:23:24.000Z","2020-07-27T17:23:24.000Z","綾小路 なつみ","0052x000002ke72AAA","2020-07-27T17:23:04.000Z","0012x00000AIyEoAAL","23.0","東京都","minami_ouga@example.com","","綾小路 なつみ","個人","a0l2x000000hp1ZAAQ","655500.0","false","D","","【先出しOK】単価＞＞場所＞＞内容","4.0","個人","090-8797-7246","","Java","・Android-Javaを用いたスマホアプリ開発
・Kotlin実務経験あり
・要件定義（見積もりなど）〜設計〜製造まで一貫して対応可能
・チーム内でのコードレビュー対応など、サブリーダー的立ちまわり多い","CE","フリーランス時代は得意のXXXに関するプロジェクト中心に活動をし、YYプロジェクト等の業務システムに関する開発・検証を主に行ってきた。得意分野としては・・・","2020-07-30T19:30:00.000Z","2020-07-30T20:30:00.000Z","","2020-07-22","他社決"
"0052x000002poBxAAI","0052x000002ke72AAA","2020-07-27T03:13:54.000Z","0052x000002ke72AAA","a0T2x000000MIdkEAG","false","","0052x000002ke72AAA","2020-07-27T17:36:30.000Z","","","藤田 真希","0052x000002ke72AAA","2020-07-27T17:36:30.000Z","0012x00000AIyEgAAL","20.0","神奈川県","nagata_nao@example.com","","藤田 真希","個人","","431000.0","false","A","","","11.0","個人","080-9518-5277","男性","ネットワーク構築","・（例）スマホ（iOS/Android）開発経験豊富
・（例）要件定義〜運用保守まで一貫した対応
・（例）Javaでのサーバーサイド開発","CE","フリーランス時代は得意のXXXに関するプロジェクト中心に活動をし、YYプロジェクト等の業務システムに関する開発・検証を主に行ってきた。得意分野としては・・・","2020-04-21T19:30:00.000Z","2020-04-21T20:30:00.000Z","","2020-04-15","未対応"
"0052x000002poC0AAI","0052x000002ke72AAA","2020-07-27T03:13:54.000Z","0052x000002ke72AAA","a0T2x000000MIdlEAG","false","","0052x000002ke72AAA","2020-07-27T17:36:32.000Z","","","海老原 雅彦","0052x000002ke72AAA","2020-07-27T17:36:32.000Z","0012x00000AIyF3AAL","21.0","神奈川県","matsuzawa_satomi@example.com","","海老原 雅彦","個人","","459000.0","false","A","","条件面","7.0","法人","090-2665-1591","男性","Java","・.NETでの開発経験豊富
・詳細設計〜テストまで一貫して対応可能","CE","フリーランス時代は得意のXXXに関するプロジェクト中心に活動をし、YYプロジェクト等の業務システムに関する開発・検証を主に行ってきた。得意分野としては・・・","2020-04-28T19:00:00.000Z","2020-04-28T20:00:00.000Z","","2020-04-13","稼働中"
"0052x000002poC0AAI","0052x000002ke72AAA","2020-07-27T03:13:54.000Z","0052x000002ke72AAA","a0T2x000000MIdmEAG","false","","0052x000002ke72AAA","2020-07-27T17:23:04.000Z","","","対馬 ひろ子","0052x000002ke72AAA","2020-07-27T17:23:04.000Z","0012x00000AIyFJAA1","19.0","千葉県","nakamoto_hanako@example.com","","対馬 ひろ子","個人","","703500.0","false","A","","","5.0","個人","080-9099-2093","","サーバ構築;VB.Net;Java;PHP;Node.js","・（例）スマホ（iOS/Android）開発経験豊富
・（例）要件定義〜運用保守まで一貫した対応
・（例）Javaでのサーバーサイド開発","CE","フリーランス時代は得意のXXXに関するプロジェクト中心に活動をし、YYプロジェクト等の業務システムに関する開発・検証を主に行ってきた。得意分野としては・・・","2020-07-30T19:30:00.000Z","2020-07-30T20:30:00.000Z","","2020-07-17","未対応"
"0052x000002poC0AAI","0052x000002ke72AAA","2020-07-27T03:13:54.000Z","0052x000002ke72AAA","a0T2x000000MIdnEAG","false","","0052x000002ke72AAA","2020-07-27T17:36:26.000Z","","","中村 希","0052x000002ke72AAA","2020-07-27T17:36:26.000Z","0012x00000AIyFaAAL","31.0","福岡県","kameyama_tatsuya@example.com","","中村 希","個人","","558000.0","false","A","","","11.0","個人","080-3336-4880","男性","サーバ構築;販売管理;OracleDBA;AWS","・（例）スマホ（iOS/Android）開発経験豊富
・（例）要件定義〜運用保守まで一貫した対応
・（例）Javaでのサーバーサイド開発","CE","フリーランス時代は得意のXXXに関するプロジェクト中心に活動をし、YYプロジェクト等の業務システムに関する開発・検証を主に行ってきた。得意分野としては・・・","2020-07-22T17:00:00.000Z","2020-07-22T18:00:00.000Z","","2020-07-10","掘り起こし"
"0052x000002poBzAAI","0052x000002ke72AAA","2020-07-27T03:13:54.000Z","0052x000002poBwAAI","a0T2x000000MIdoEAG","false","","0052x000002ke72AAA","2020-07-27T17:22:56.000Z","","","小野 三省","0052x000002ke72AAA","2020-07-27T17:22:56.000Z","0012x00000AIyFgAAL","48.0","大阪府","shimoda_risa@example.com","","小野 三省","個人","","401500.0","false","B","","","5.0","個人","080-2858-2649","","システムリスク セキュリティ管理;サーバ構築;Java;ネットワーク構築;OracleDBA;PHP;AWS","・（例）スマホ（iOS/Android）開発経験豊富
・（例）要件定義〜運用保守まで一貫した対応
・（例）Javaでのサーバーサイド開発","CE","フリーランス時代は得意のXXXに関するプロジェクト中心に活動をし、YYプロジェクト等の業務システムに関する開発・検証を主に行ってきた。得意分野としては・・・","2020-07-24T18:00:00.000Z","2020-07-24T19:00:00.000Z","","2020-07-14","未対応"
"0052x000002poBtAAI","0052x000002ke72AAA","2020-07-27T03:13:54.000Z","0052x000002poBwAAI","a0T2x000000MIdpEAG","false","","0052x000002ke72AAA","2020-07-27T17:23:02.000Z","","","松澤 さとみ","0052x000002ke72AAA","2020-07-27T17:23:02.000Z","0012x00000AIyFpAAL","26.0","長野県","sakai_girolamo@example.com","","松澤 さとみ","個人","","385000.0","false","B","","","4.0","個人","090-1071-3933","","サーバ構築;Java;ネットワーク構築;Explanner;販売管理;OracleDBA","・（例）スマホ（iOS/Android）開発経験豊富
・（例）要件定義〜運用保守まで一貫した対応
・（例）Javaでのサーバーサイド開発","CE","フリーランス時代は得意のXXXに関するプロジェクト中心に活動をし、YYプロジェクト等の業務システムに関する開発・検証を主に行ってきた。得意分野としては・・・","2020-07-24T15:30:00.000Z","2020-07-24T16:30:00.000Z","","2020-07-12","未対応"
"0052x000002poBzAAI","0052x000002ke72AAA","2020-07-27T03:13:54.000Z","0052x000002poBwAAI","a0T2x000000MIdqEAG","false","","0052x000002ke72AAA","2020-07-27T17:36:32.000Z","","","宇田川 将也","0052x000002ke72AAA","2020-07-27T17:36:32.000Z","0012x00000AIyFGAA1","19.0","神奈川県","mifune_motoki@example.com","","宇田川 将也","個人","a0l2x000000hp1PAAQ","477000.0","false","A","","金と条件面(月1回休む)が大丈夫なところ
SEもできるけどPGのほうがうれしい。","5.0","法人","080-8540-7110","男性","システムリスク セキュリティ管理;サーバ構築;Java;ネットワーク構築;OracleDBA;PHP;AWS","・要件定義〜テストまで一貫して対応可能
・C#.NETでの開発経験豊富","CE","フリーランス時代は得意のXXXに関するプロジェクト中心に活動をし、YYプロジェクト等の業務システムに関する開発・検証を主に行ってきた。得意分野としては・・・","2020-06-23T18:00:00.000Z","2020-06-23T19:00:00.000Z","","2020-06-17","営業中"
"0052x000002poBtAAI","0052x000002ke72AAA","2020-07-27T03:13:54.000Z","0052x000002poBwAAI","a0T2x000000MIdrEAG","false","","0052x000002ke72AAA","2020-07-27T17:36:23.000Z","","","福本 大樹","0052x000002ke72AAA","2020-07-27T17:36:23.000Z","0012x00000AIyF6AAL","22.0","福岡県","ide_tamaki@example.com","","福本 大樹","個人","a0l2x000000hp1ZAAQ","468000.0","true","A","","","8.0","個人","090-6052-7105","女性","サーバ構築;Java;ネットワーク構築;Explanner;販売管理;OracleDBA","・（例）スマホ（iOS/Android）開発経験豊富
・（例）要件定義〜運用保守まで一貫した対応
・（例）Javaでのサーバーサイド開発","CE","フリーランス時代は得意のXXXに関するプロジェクト中心に活動をし、YYプロジェクト等の業務システムに関する開発・検証を主に行ってきた。得意分野としては・・・","2020-06-23T11:00:00.000Z","2020-06-23T11:00:00.000Z","","2020-06-14","未対応"
